cluster,gene,auc,power
C2,UBC,0.324,0.353
C2,H3F3B,0.489,0.023
C2,H3F3C,0.474,0.051
C3,MYT1L,0.359,0.283
C3,STMN2,0.407,0.185
C3,HMP19,0.378,0.244
C3,SCN2A,0.422,0.155
C3,GRIA2,0.426,0.148
C3,GAP43,0.427,0.145
C3,RUNX1T1,0.325,0.349
C3,NRXN1,0.365,0.271
C3,RTN1,0.423,0.155
C3,NEUROD6,0.351,0.298
C3,SCN3B,0.423,0.155
C3,RAB3A,0.447,0.106
C3,GABBR2,0.452,0.096
C3,SNAP25,0.396,0.207
C3,KIF5A,0.388,0.223
C3,BCL11B,0.392,0.216
C3,ATAT1,0.501,0.001
C3,RALYL,0.418,0.165
C3,MKI67,0.674,0.347
C3,ECT2,0.625,0.251
C3,FANCD2,0.775,0.55
C3,RRM2,0.806,0.613
C3,SMC2,0.685,0.37
C3,CKS2,0.616,0.233
C3,SMC4,0.641,0.283
C3,BARD1,0.805,0.611
C3,TPX2,0.645,0.291
C3,RAD51AP1,0.763,0.527
C3,GMNN,0.774,0.547
C3,CENPN,0.785,0.57
C3,AURKB,0.678,0.356
C3,DLGAP5,0.695,0.39
C3,UBE2C,0.623,0.246
C3,TOP2A,0.669,0.339
C3,GNG5,0.54,0.08
C3,NDC80,0.695,0.39
C3,ASPM,0.688,0.375
C3,CENPK,0.767,0.534
C3,TRIM59,0.576,0.151
C3,MIS18BP1,0.693,0.387
C3,CDK1,0.657,0.313
C3,MAD2L1,0.714,0.429
